seed,best_epoch,best_threshold,train_auc,val_auc,test_auc,train_f1,val_f1,test_f1,train_recall,val_recall,test_recall,test_balanced_accuracy,test_precision,test_pr_auc,overfitting_risk_level,overfitting_flags
123,5,0.1,0.7070293094883259,0.7470355731225296,0.6736453201970444,0.3247232472324723,0.3235294117647059,0.32558139534883723,1.0,1.0,1.0,0.5,0.19444444444444445,0.35328076297145283,low,
42,5,0.1,0.7847118728266269,0.7727272727272727,0.6724137931034483,0.3247232472324723,0.3235294117647059,0.32558139534883723,1.0,1.0,1.0,0.5,0.19444444444444445,0.32657793886785486,mild,val_test_auc_gap_high
2026,7,0.1,0.782973174366617,0.7371541501976284,0.6330049261083743,0.3247232472324723,0.3235294117647059,0.32558139534883723,1.0,1.0,1.0,0.5,0.19444444444444445,0.37754920812524495,mild,val_test_auc_gap_high
