epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,train_recall,val_recall,train_threshold,val_threshold,lr
1,1.1031013181031013,1.1057823101679485,0.6516393442622951,0.6719367588932806,0.3821656050955414,0.375,0.6818181818181818,0.5454545454545454,0.52,0.51,0.0008
2,1.0529992170795994,1.101711867148416,0.7580725285643318,0.616600790513834,0.48,0.35714285714285715,0.6818181818181818,0.9090909090909091,0.52,0.5,0.0008
3,0.9435723838827158,1.0476345932274533,0.8527074018877298,0.7134387351778656,0.5806451612903226,0.5185185185185185,0.6136363636363636,0.6363636363636364,0.55,0.49,0.0008
4,0.8707625025694591,1.0160959551208897,0.8478638847491308,0.7075098814229249,0.5853658536585366,0.48484848484848486,0.8181818181818182,0.7272727272727273,0.54,0.49,0.0008
5,0.7909729005481703,0.9484252866945768,0.8774217585692996,0.7944664031620553,0.6285714285714286,0.5806451612903226,0.75,0.8181818181818182,0.57,0.38,0.0008
6,0.7287950043111121,0.9577542909404688,0.8934426229508197,0.8043478260869565,0.6813186813186813,0.5454545454545454,0.7045454545454546,0.8181818181818182,0.6,0.59,0.0008
7,0.6105291709500787,1.300835955561253,0.9448584202682563,0.8537549407114624,0.7407407407407407,0.6363636363636364,0.6818181818181818,0.6363636363636364,0.67,0.24,0.0008
8,0.6555417657948801,1.5428536858475,0.9041231992051664,0.8122529644268774,0.7191011235955056,0.5294117647058824,0.7272727272727273,0.8181818181818182,0.68,0.86,0.0008
9,0.6874076214655905,0.9685389765521937,0.8874813710879285,0.8260869565217391,0.7326732673267327,0.6206896551724138,0.8409090909090909,0.8181818181818182,0.48,0.28,0.0008
10,0.5153472376289872,0.9315902318870812,0.9554148037754595,0.849802371541502,0.8041237113402062,0.6451612903225806,0.8863636363636364,0.9090909090909091,0.53,0.23,0.0008
11,0.48494309272272473,0.8477894412843805,0.9612518628912072,0.8320158102766798,0.8095238095238095,0.5517241379310345,0.7727272727272727,0.7272727272727273,0.7,0.61,0.0008
12,0.4351858992277263,0.7564302447595095,0.9677098857426727,0.849802371541502,0.8372093023255814,0.6451612903225806,0.8181818181818182,0.9090909090909091,0.77,0.35,0.0008
13,0.3633318068172438,0.808736481164631,0.9788872329855937,0.8596837944664032,0.8666666666666667,0.6206896551724138,0.8863636363636364,0.8181818181818182,0.65,0.69,0.0004
14,0.32761870830069556,0.6733486830142507,0.9824888226527572,0.8873517786561265,0.865979381443299,0.6956521739130435,0.9545454545454546,0.7272727272727273,0.53,0.74,0.0004
15,0.37077757860595434,0.6435744908818027,0.9709388971684053,0.907114624505929,0.8705882352941177,0.6666666666666666,0.8409090909090909,0.8181818181818182,0.77,0.54,0.0004
16,0.37776765896885406,0.636727303789373,0.971311475409836,0.9090909090909091,0.8539325842696629,0.7333333333333333,0.8636363636363636,1.0,0.68,0.3,0.0004
17,0.37761996089099265,0.44401478296832037,0.9672131147540983,0.9644268774703557,0.8641975308641975,0.8695652173913043,0.7954545454545454,0.9090909090909091,0.85,0.51,0.0004
18,0.2868196415481063,0.46347353385205853,0.9873323397913563,0.958498023715415,0.8809523809523809,0.8181818181818182,0.8409090909090909,0.8181818181818182,0.8,0.76,0.0004
19,0.35614801766063675,0.5426622231801351,0.9755340288127173,0.9367588932806324,0.8421052631578947,0.8695652173913043,0.9090909090909091,0.9090909090909091,0.74,0.64,0.0004
20,0.26734386456695425,1.0805874770147759,0.9919274714356682,0.8893280632411067,0.9069767441860465,0.7142857142857143,0.8863636363636364,0.9090909090909091,0.83,0.88,0.0004
21,0.24554279019916636,0.6359239204933769,0.9920516641828117,0.9071146245059288,0.9195402298850575,0.6923076923076923,0.9090909090909091,0.8181818181818182,0.73,0.66,0.0004
22,0.20209262221395183,1.3816378639455427,0.994535519125683,0.8241106719367588,0.9156626506024096,0.5625,0.8636363636363636,0.8181818181818182,0.82,0.11,0.0004
23,0.19006659720700217,1.3960711767798977,0.997391952309985,0.8300395256916996,0.9438202247191011,0.5454545454545454,0.9545454545454546,0.5454545454545454,0.63,0.17,0.0002
24,0.18525662368352191,1.3431237705966883,0.9957774465971188,0.8794466403162056,0.9545454545454546,0.64,0.9545454545454546,0.7272727272727273,0.7,0.1,0.0002
25,0.18150730122553618,1.0600904268130922,0.9972677595628415,0.9110671936758893,0.9534883720930233,0.7142857142857143,0.9318181818181818,0.9090909090909091,0.76,0.1,0.0002
26,0.2092477688442768,0.628816775062628,0.9940387481371088,0.9308300395256918,0.9285714285714286,0.72,0.8863636363636364,0.8181818181818182,0.76,0.35,0.0002
27,0.22330218811195326,0.6165202343673036,0.9926726279185296,0.9209486166007905,0.9130434782608695,0.7692307692307693,0.9545454545454546,0.9090909090909091,0.6,0.3,0.0002
28,0.23930313513667573,0.589688885107375,0.989692001987084,0.9189723320158103,0.9047619047619048,0.7692307692307693,0.8636363636363636,0.9090909090909091,0.84,0.52,0.0001
29,0.20378768286515964,0.6872441993470777,0.9956532538499752,0.8893280632411067,0.9655172413793104,0.7407407407407407,0.9545454545454546,0.9090909090909091,0.79,0.68,0.0001
