threshold,f1,balanced_accuracy,precision,recall,selection_score
0.1,0.4878048780487805,0.7371541501976284,0.3333333333333333,0.9090909090909091,0.4878048780487805
0.11,0.5405405405405406,0.7806324110671936,0.38461538461538464,0.9090909090909091,0.5405405405405406
0.12,0.5405405405405406,0.7806324110671936,0.38461538461538464,0.9090909090909091,0.5405405405405406
0.13,0.5714285714285714,0.8023715415019763,0.4166666666666667,0.9090909090909091,0.5714285714285714
0.14,0.5294117647058824,0.7569169960474309,0.391304347826087,0.8181818181818182,0.5294117647058824
0.15,0.5294117647058824,0.7569169960474309,0.391304347826087,0.8181818181818182,0.5294117647058824
0.16,0.5806451612903226,0.7895256916996047,0.45,0.8181818181818182,0.5806451612903226
0.17,0.6,0.8003952569169961,0.47368421052631576,0.8181818181818182,0.6
0.18,0.6206896551724138,0.8112648221343874,0.5,0.8181818181818182,0.6206896551724138
0.19,0.6206896551724138,0.8112648221343874,0.5,0.8181818181818182,0.6206896551724138
0.2,0.6206896551724138,0.8112648221343874,0.5,0.8181818181818182,0.6206896551724138
0.21,0.6206896551724138,0.8112648221343874,0.5,0.8181818181818182,0.6206896551724138
0.22,0.6923076923076923,0.8438735177865613,0.6,0.8181818181818182,0.6923076923076923
0.23,0.6923076923076923,0.8438735177865613,0.6,0.8181818181818182,0.6923076923076923
0.24,0.6923076923076923,0.8438735177865613,0.6,0.8181818181818182,0.6923076923076923
0.25,0.6923076923076923,0.8438735177865613,0.6,0.8181818181818182,0.6923076923076923
0.26,0.6923076923076923,0.8438735177865613,0.6,0.8181818181818182,0.6923076923076923
0.27,0.6923076923076923,0.8438735177865613,0.6,0.8181818181818182,0.6923076923076923
0.28,0.72,0.8547430830039526,0.6428571428571429,0.8181818181818182,0.72
0.29,0.72,0.8547430830039526,0.6428571428571429,0.8181818181818182,0.72
0.3,0.72,0.8547430830039526,0.6428571428571429,0.8181818181818182,0.72
0.31,0.72,0.8547430830039526,0.6428571428571429,0.8181818181818182,0.72
0.32,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.33,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.34,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.35,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.36,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.37,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.38,0.782608695652174,0.8764822134387352,0.75,0.8181818181818182,0.782608695652174
0.39,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.4,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.41,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.42,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.43,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.44,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.45,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.46,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.47,0.8181818181818182,0.8873517786561265,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.48,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.49,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.5,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.51,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.52,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.53,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.54,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.55,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.56,0.8571428571428571,0.8982213438735178,0.9,0.8181818181818182,0.8571428571428571
0.57,0.8,0.8527667984189724,0.8888888888888888,0.7272727272727273,0.8
0.58,0.8,0.8527667984189724,0.8888888888888888,0.7272727272727273,0.8
0.59,0.7368421052631579,0.8073122529644269,0.875,0.6363636363636364,0.7368421052631579
0.6,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.61,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.62,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.63,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.64,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.65,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.66,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.67,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.68,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.69,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.7,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.71,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.72,0.6666666666666666,0.7618577075098814,0.8571428571428571,0.5454545454545454,0.6666666666666666
0.73,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.74,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.75,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.76,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.77,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.78,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.79,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.8,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.81,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.82,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.83,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.84,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.85,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.86,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.87,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.88,0.5,0.6709486166007905,0.8,0.36363636363636365,-999999.6363636364
0.89,0.5333333333333333,0.6818181818181819,1.0,0.36363636363636365,-999999.6363636364
0.9,0.42857142857142855,0.6363636363636364,1.0,0.2727272727272727,-999999.7272727273
