epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,train_recall,val_recall,train_threshold,val_threshold,lr
1,1.1186831351944004,1.1136039662779422,0.5827123695976155,0.5513833992094861,0.3391304347826087,0.36363636363636365,0.8863636363636364,0.9090909090909091,0.44,0.47,0.0008
2,1.076589424179514,1.1012736098808156,0.6944858420268256,0.5632411067193676,0.4358974358974359,0.36065573770491804,0.7727272727272727,1.0,0.47,0.46,0.0008
3,1.0426342537224556,1.0778479304230004,0.7573273720814704,0.6897233201581028,0.4714285714285714,0.4,0.75,0.6363636363636364,0.49,0.53,0.0008
4,0.9843554859119364,1.0414053097105862,0.8012916045702931,0.766798418972332,0.5333333333333333,0.5185185185185185,0.7272727272727273,0.6363636363636364,0.5,0.57,0.0008
5,0.8869188829665667,1.0047997685900905,0.8532041728763039,0.7766798418972332,0.625,0.5,0.5681818181818182,0.7272727272727273,0.59,0.55,0.0008
6,0.803313877088908,0.9455787570852983,0.8671137605563836,0.8458498023715415,0.631578947368421,0.6086956521739131,0.6818181818181818,0.6363636363636364,0.6,0.42,0.0008
7,0.7284692095239782,0.8919699171133209,0.895057128663686,0.8458498023715414,0.6593406593406593,0.5384615384615384,0.6818181818181818,0.6363636363636364,0.64,0.68,0.0008
8,0.6960472511825058,0.8261308168110094,0.9008941877794336,0.8260869565217391,0.6842105263157895,0.5833333333333334,0.5909090909090909,0.6363636363636364,0.74,0.59,0.0008
9,0.6167233137307188,0.9594907844275758,0.9287133631395926,0.7944664031620553,0.7272727272727273,0.5185185185185185,0.7272727272727273,0.6363636363636364,0.74,0.78,0.0008
10,0.5478481529567736,1.0017574774591547,0.9446100347739692,0.7806324110671936,0.7526881720430108,0.5454545454545454,0.7954545454545454,0.5454545454545454,0.66,0.81,0.0008
11,0.48711401355424117,1.1536083451488561,0.9520615996025832,0.7845849802371542,0.7764705882352941,0.56,0.75,0.6363636363636364,0.7,0.27,0.0008
12,0.5066478743427125,1.6310124271794368,0.9451068057625434,0.7233201581027668,0.7647058823529411,0.4074074074074074,0.8863636363636364,1.0,0.58,0.75,0.0004
13,0.506658099033759,0.894107719262441,0.9488325881768505,0.7924901185770751,0.7619047619047619,0.5833333333333334,0.9090909090909091,0.6363636363636364,0.44,0.59,0.0004
14,0.40210265006525403,1.0366475728520177,0.9700695479384004,0.8221343873517787,0.8571428571428571,0.6363636363636364,0.8863636363636364,0.6363636363636364,0.61,0.33,0.0004
15,0.3818399000272877,0.920170919937,0.9744162940884252,0.7885375494071146,0.8421052631578947,0.5454545454545454,0.9090909090909091,0.5454545454545454,0.62,0.75,0.0004
16,0.32814135418852,0.9612085400966176,0.9827372081470442,0.7905138339920948,0.8775510204081632,0.5714285714285714,0.9772727272727273,0.7272727272727273,0.58,0.68,0.0004
17,0.2953244711596535,0.9605705382531149,0.9863387978142076,0.7885375494071147,0.8791208791208791,0.5714285714285714,0.9090909090909091,0.7272727272727273,0.64,0.65,0.0002
18,0.25387239095135405,0.9987724893971494,0.9952806756085444,0.7806324110671936,0.9347826086956522,0.5454545454545454,0.9772727272727273,0.5454545454545454,0.59,0.84,0.0002
