epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,train_recall,val_recall,train_threshold,val_threshold,lr
1,1.1458767652511597,1.1203384399414062,0.5500496770988574,0.6669960474308301,0.34177215189873417,0.3235294117647059,0.6136363636363636,1.0,0.51,0.1,0.0008
2,1.0753893295573769,1.1263100306193035,0.690387481371088,0.6343873517786561,0.4069767441860465,0.3235294117647059,0.7954545454545454,1.0,0.5,0.1,0.0008
3,1.065164099705902,1.1248408702381871,0.6963487332339792,0.6679841897233201,0.45,0.3235294117647059,0.8181818181818182,1.0,0.5,0.1,0.0008
4,1.0262873393323453,1.119080148245159,0.7744659711872828,0.7213438735177866,0.5287356321839081,0.3235294117647059,0.5227272727272727,1.0,0.55,0.1,0.0008
5,0.9225373819536049,1.117593616770025,0.8541977148534525,0.7282608695652174,0.6213592233009708,0.3235294117647059,0.7272727272727273,1.0,0.55,0.1,0.0008
6,0.9153271128427615,1.1184298155600565,0.8573025335320417,0.6679841897233201,0.6842105263157895,0.3235294117647059,0.5909090909090909,1.0,0.64,0.1,0.0008
7,0.8432428689780215,1.1466363961236519,0.854073522106309,0.7371541501976284,0.6666666666666666,0.3235294117647059,0.6363636363636364,1.0,0.65,0.1,0.0008
8,0.6901067132991842,1.1867524636419196,0.9387729756582215,0.6758893280632411,0.7446808510638298,0.3235294117647059,0.7954545454545454,1.0,0.58,0.1,0.0008
9,0.6366425739510995,1.237963174518786,0.9161698956780924,0.6561264822134387,0.7777777777777778,0.3235294117647059,0.7954545454545454,1.0,0.63,0.1,0.0008
10,0.5519116938376741,1.307242619363885,0.9454793840039741,0.6758893280632412,0.8372093023255814,0.3235294117647059,0.8181818181818182,1.0,0.68,0.1,0.0008
11,0.5747865722042873,1.6963407407727158,0.9285891703924491,0.7114624505928854,0.7727272727272727,0.3384615384615385,0.7727272727272727,1.0,0.61,0.14,0.0008
12,0.4973159915550165,1.5761733326995582,0.9479632389468455,0.6758893280632411,0.7804878048780488,0.3235294117647059,0.7272727272727273,1.0,0.69,0.1,0.0008
13,0.45410314635558274,1.8630285388544987,0.9497019374068554,0.7035573122529645,0.8051948051948052,0.3389830508474576,0.7045454545454546,0.9090909090909091,0.83,0.11,0.0004
14,0.36870092330787674,1.946676584712246,0.9654744162940884,0.6719367588932806,0.8837209302325582,0.0,0.8636363636363636,0.0,0.76,0.1,0.0004
15,0.298414515897566,1.8127825783010114,0.9816194734227521,0.6462450592885376,0.898876404494382,0.3235294117647059,0.9090909090909091,1.0,0.8,0.1,0.0004
16,0.35798477706405035,2.2644754083533036,0.9674615002483855,0.6422924901185771,0.8837209302325582,0.0,0.8636363636363636,0.0,0.6,0.1,0.0004
17,0.41879790588097426,3.034121509183917,0.9600099354197714,0.6640316205533596,0.8,0.0,0.8181818181818182,0.0,0.52,0.1,0.0004
18,0.4596591085064254,3.2480828552915337,0.9586438152011922,0.6877470355731226,0.7948717948717948,0.0,0.7045454545454546,0.0,0.81,0.1,0.0002
19,0.37811511426770217,2.967983743600678,0.9711872826626925,0.6956521739130436,0.85,0.0,0.7727272727272727,0.0,0.66,0.1,0.0002
