seed,best_epoch,best_threshold,train_auc,val_auc,test_auc,train_f1,val_f1,test_f1,train_recall,val_recall,test_recall,test_balanced_accuracy,test_precision,test_pr_auc,overfitting_risk_level,overfitting_flags
123,24,0.48,0.9959016393442622,0.9209486166007905,0.853448275862069,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.9545454545454546,0.8181818181818182,0.5,0.75,1.0,0.7936352687750043,mild,"val_test_f1_gap_high, val_test_recall_gap_high"
2026,6,0.42,0.891952309985097,0.8458498023715415,0.8571428571428572,0.7058823529411765,0.6086956521739131,0.6451612903225806,0.6818181818181818,0.6363636363636364,0.7142857142857143,0.7967980295566502,0.5882352941176471,0.7334263625423665,low,
42,17,0.51,0.9868355688027819,0.9644268774703557,0.8620689655172413,0.875,0.8695652173913043,0.64,0.9545454545454546,0.9090909090909091,0.5714285714285714,0.7598522167487685,0.7272727272727273,0.7164593515525193,moderate,"val_test_auc_gap_high, val_test_f1_gap_high, val_test_recall_gap_high"
