lead,importance
V1,0.09242610837438506
V4,0.06933497536945898
V6,0.04642857142857249
III,0.04334975369458179
aVF,0.04224137931034546
V2,0.040701970443350104
aVR,0.02586206896551775
II,0.01859605911330111
I,0.016502463054187736
V5,0.000431034482759207
aVL,-0.000923645320196953
V3,-0.012068965517240843
