lead,importance
V1,0.1254052734002471
V6,0.12218052335083485
II,0.11020785802975297
aVF,0.1091058743186295
V4,0.09702892554923892
III,0.0910309343598783
V2,0.08021001145243645
V3,0.06987974746152759
aVR,0.0665090954862535
V5,0.06321403151378036
I,0.056776938028633595
aVL,0.008450915105640888
