threshold,f1,balanced_accuracy,precision,recall,score_for_selection
0.1,0.4061302681992337,0.6477570464470028,0.25728155339805825,0.9636363636363636,0.4067780252456807
0.11,0.42231075697211157,0.669591107582374,0.27040816326530615,0.9636363636363636,0.4229803480796939
0.12,0.4344262295081967,0.6848749503771338,0.2804232804232804,0.9636363636363636,0.4351111044585738
0.13,0.4425531914893617,0.6932512901945216,0.28888888888888886,0.9454545454545454,0.4432464427795562
0.14,0.45132743362831856,0.7016276300119095,0.2982456140350877,0.9272727272727272,0.4520290612583305
0.15,0.46296296296296297,0.7121873759428344,0.3105590062111801,0.9090909090909091,0.4636751503389058
0.16,0.4878048780487805,0.7362048431917427,0.3333333333333333,0.9090909090909091,0.48854108289197223
0.17,0.48756218905472637,0.733664152441445,0.3356164383561644,0.8909090909090909,0.48829585320716784
0.18,0.49246231155778897,0.7380309646685193,0.3402777777777778,0.8909090909090909,0.4932003425224575
0.19,0.5104166666666666,0.7533148074632791,0.35766423357664234,0.8909090909090909,0.51116998147413
0.2,0.518918918918919,0.7573243350535928,0.36923076923076925,0.8727272727272727,0.5196762432539725
0.21,0.5274725274725275,0.763874553394204,0.3779527559055118,0.8727272727272727,0.5282364020259217
0.22,0.5280898876404494,0.7613338626439063,0.3821138211382114,0.8545454545454545,0.5288512215030933
0.23,0.5340909090909091,0.7657006748709805,0.3884297520661157,0.8545454545454545,0.5348566097657801
0.24,0.5433526011560693,0.7722508932115919,0.3983050847457627,0.8545454545454545,0.544124852049281
0.25,0.5443786982248521,0.7697102024612941,0.40350877192982454,0.8363636363636363,0.5451484084273134
0.26,0.5421686746987951,0.7649861055974594,0.40540540540540543,0.8181818181818182,0.5429336608043926
0.27,0.5487804878048781,0.7693529178245335,0.41284403669724773,0.8181818181818182,0.5495498407227026
0.28,0.5590062111801242,0.775903136165145,0.42452830188679247,0.8181818181818182,0.5597821143162893
0.29,0.5641025641025641,0.7755458515283843,0.43564356435643564,0.8,0.5648781099540925
0.3,0.5714285714285714,0.7799126637554585,0.4444444444444444,0.8,0.5722084840923268
0.31,0.5827814569536424,0.78646288209607,0.4583333333333333,0.8,0.5835679198357384
0.32,0.5771812080536913,0.779555379118698,0.4574468085106383,0.7818181818181819,0.57796076343281
0.33,0.581081081081081,0.7817387852322351,0.46236559139784944,0.7818181818181819,0.5818628198663133
0.34,0.593103448275862,0.7882890035728464,0.4777777777777778,0.7818181818181819,0.5938917372794349
0.35,0.5972222222222222,0.7904724096863835,0.48314606741573035,0.7818181818181819,0.5980126946319086
0.36,0.6099290780141844,0.7970226280269949,0.5,0.7818181818181819,0.6107261006422113
0.37,0.6142857142857143,0.799206034140532,0.5058823529411764,0.7818181818181819,0.6150849203198548
0.38,0.6277372262773723,0.8057562524811434,0.524390243902439,0.7818181818181819,0.6285429825298534
0.39,0.6277372262773723,0.8057562524811434,0.524390243902439,0.7818181818181819,0.6285429825298534
0.4,0.6417910447761194,0.8123064708217547,0.5443037974683544,0.7818181818181819,0.6426033512469411
0.41,0.6417910447761194,0.8123064708217547,0.5443037974683544,0.7818181818181819,0.6426033512469411
0.42,0.6363636363636364,0.8053989678443827,0.5454545454545454,0.7636363636363637,0.6371690353314807
0.43,0.6201550387596899,0.7894005557761017,0.5405405405405406,0.7272727272727273,0.6209444393154661
0.44,0.6349206349206349,0.795950774116713,0.5633802816901409,0.7272727272727273,0.6357165856947516
0.45,0.6341463414634146,0.7912266772528782,0.5735294117647058,0.7090909090909091,0.6349375681406675
0.46,0.639344262295082,0.7934100833664153,0.582089552238806,0.7090909090909091,0.6401376723784484
0.47,0.6446280991735537,0.7955934894799523,0.5909090909090909,0.7090909090909091,0.6454236926630337
