threshold,f1,balanced_accuracy,precision,recall,score_for_selection
0.1,0.4,0.6379515680825725,0.2564102564102564,0.9090909090909091,0.4006379515680826
0.11,0.4132231404958678,0.6554188169908693,0.26737967914438504,0.9090909090909091,0.41387855931285866
0.12,0.42016806722689076,0.6641524414450178,0.273224043715847,0.9090909090909091,0.4208322196683358
0.13,0.4219409282700422,0.666335847558555,0.27472527472527475,0.9090909090909091,0.42260726411760074
0.14,0.42735042735042733,0.6728860658991663,0.27932960893854747,0.9090909090909091,0.4280233134163265
0.15,0.43478260869565216,0.6816196903533148,0.2857142857142857,0.9090909090909091,0.43546422838600546
0.16,0.4375,0.6834458118300912,0.28994082840236685,0.8909090909090909,0.4381834458118301
0.17,0.4375,0.6834458118300912,0.28994082840236685,0.8909090909090909,0.4381834458118301
0.18,0.44144144144144143,0.6878126240571656,0.2934131736526946,0.8909090909090909,0.4421292540654986
0.19,0.4474885844748858,0.6943628423977769,0.29878048780487804,0.8909090909090909,0.4481829473172836
0.2,0.44339622641509435,0.6870980547836443,0.29936305732484075,0.8545454545454545,0.44408332446987797
0.21,0.44549763033175355,0.6892814608971813,0.30128205128205127,0.8545454545454545,0.44618691179265074
0.22,0.4444444444444444,0.6867407701468837,0.3026315789473684,0.8363636363636363,0.44513118521459133
0.23,0.45098039215686275,0.6932909884874949,0.3087248322147651,0.8363636363636363,0.4516736831453502
0.24,0.46,0.7020246129416434,0.31724137931034485,0.8363636363636363,0.4607020246129417
0.25,0.45454545454545453,0.6951171099642716,0.3146853146853147,0.8181818181818182,0.4552405716554188
0.26,0.45685279187817257,0.6973005160778087,0.31690140845070425,0.8181818181818182,0.4575500923942504
0.27,0.46875,0.7082175466454943,0.3284671532846715,0.8181818181818182,0.4694582175466455
0.28,0.47619047619047616,0.7147677649861056,0.3358208955223881,0.8181818181818182,0.47690524395546224
0.29,0.4891304347826087,0.7256847955537913,0.3488372093023256,0.8181818181818182,0.4898561195781625
0.3,0.46408839779005523,0.698412068281064,0.3333333333333333,0.7636363636363637,0.4647868098583363
0.31,0.47191011235955055,0.7049622866216753,0.34146341463414637,0.7636363636363637,0.47261507464617225
0.32,0.45977011494252873,0.6911472806669313,0.33613445378151263,0.7272727272727273,0.46046126222319567
0.33,0.45977011494252873,0.6911472806669313,0.33613445378151263,0.7272727272727273,0.46046126222319567
0.34,0.4678362573099415,0.6976974990075426,0.3448275862068966,0.7272727272727273,0.46853395480894905
0.35,0.47337278106508873,0.702064311234617,0.3508771929824561,0.7272727272727273,0.47407484537632333
0.36,0.47904191616766467,0.7064311234616911,0.35714285714285715,0.7272727272727273,0.47974834729112636
0.37,0.4785276073619632,0.7038904327113934,0.3611111111111111,0.7090909090909091,0.4792314977946746
0.38,0.48148148148148145,0.7060738388249306,0.3644859813084112,0.7090909090909091,0.4821875553203064
0.39,0.46540880503144655,0.6900754267566495,0.3557692307692308,0.6727272727272727,0.4660988804582032
0.4,0.4774193548387097,0.698809051210798,0.37,0.6727272727272727,0.47811816388992046
0.41,0.48366013071895425,0.7031758634378722,0.37755102040816324,0.6727272727272727,0.48436330658239213
0.42,0.5,0.7140928940055578,0.3978494623655914,0.6727272727272727,0.5007140928940056
0.43,0.5103448275862069,0.7206431123461692,0.4111111111111111,0.6727272727272727,0.5110654706985531
0.44,0.5211267605633803,0.7271933306867805,0.42528735632183906,0.6727272727272727,0.5218539538940671
0.45,0.524822695035461,0.7293767368003176,0.43023255813953487,0.6727272727272727,0.5255520717722613
0.46,0.524822695035461,0.7293767368003176,0.43023255813953487,0.6727272727272727,0.5255520717722613
0.47,0.5323741007194245,0.7337435490273918,0.44047619047619047,0.6727272727272727,0.5331078442684519
0.48,0.5401459854014599,0.738110361254466,0.45121951219512196,0.6727272727272727,0.5408840957627143
0.49,0.5373134328358209,0.7333862643906313,0.45569620253164556,0.6545454545454545,0.5380468191002116
0.5,0.5190839694656488,0.7173878523223501,0.4473684210526316,0.6181818181818182,0.5198013573179712
0.51,0.5116279069767442,0.7104803493449782,0.44594594594594594,0.6,0.5123383873260892
0.52,0.496,0.6966653433902342,0.44285714285714284,0.5636363636363636,0.49669666534339024
0.53,0.4918032786885246,0.6919412465263993,0.44776119402985076,0.5454545454545454,0.49249521993505097
0.54,0.4793388429752066,0.6828503374354902,0.4393939393939394,0.5272727272727272,0.4800216933126421
0.55,0.4745762711864407,0.6781262405716554,0.4444444444444444,0.509090909090909,0.47525439742701237
0.56,0.47863247863247865,0.6803096466851926,0.45161290322580644,0.509090909090909,0.47931278827916385
0.57,0.48695652173913045,0.6846764589122667,0.4666666666666667,0.509090909090909,0.48764119819804275
