mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_select__k,param_clf__subsample,param_clf__scale_pos_weight,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
2.3608710765838623,0.03965774549227208,0.0070002079010009766,0.001673626225699315,90,1.0,5.0,5.0,0.1,250,5,3,0.02,0.8,"{'select__k': 90, 'clf__subsample': 1.0, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 250, 'clf__min_child_weight': 5, 'clf__max_depth': 3, 'clf__learning_rate': 0.02, 'clf__colsample_bytree': 0.8}",0.8636363636363636,0.8339920948616601,0.8438735177865613,0.782608695652174,0.9454545454545455,0.8539130434782608,0.053021384040355314,1,0.5925925925925926,0.5,0.7272727272727273,0.5555555555555556,0.8,0.635084175084175,0.11142174718359733,1,0.7766798418972332,0.6966403162055336,0.8310276679841897,0.7055335968379447,0.9101010101010101,0.7839964866051823,0.07994415767936439,2,0.5420274170274171,0.5595660087039397,0.5782232189208933,0.593987493987494,0.829183695092786,0.620597566746506,0.10574495143349388,1,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.45454545454545453,0.9090909090909091,0.6727272727272727,0.15850541612875177,4
1.3438190460205077,1.014883755204172,0.007509469985961914,0.0009015543517449815,75,0.7,5.0,2.0,0.0,180,5,2,0.02,0.8,"{'select__k': 75, 'clf__subsample': 0.7, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 2.0, 'clf__reg_alpha': 0.0, 'clf__n_estimators': 180, 'clf__min_child_weight': 5, 'clf__max_depth': 2, 'clf__learning_rate': 0.02, 'clf__colsample_bytree': 0.8}",0.824110671936759,0.8221343873517786,0.8557312252964426,0.7924901185770751,0.9434343434343435,0.8475801493192797,0.051937811326482064,4,0.6206896551724138,0.5,0.75,0.45454545454545453,0.7407407407407407,0.6131951700917219,0.1208490630166795,2,0.8112648221343874,0.7094861660079052,0.8656126482213439,0.6620553359683794,0.8878787878787879,0.7872595520421607,0.08782310241763877,1,0.4914114111694757,0.6026366145931364,0.5150269071392066,0.5848158342839194,0.8637103492119166,0.6115202232795309,0.1327621853683944,4,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.45454545454545453,0.9090909090909091,0.7272727272727273,0.16262312563634834,1
2.316154718399048,0.042875356430251324,0.007708263397216797,0.0010859649802243592,60,0.7,5.0,5.0,1.0,350,5,3,0.03,0.8,"{'select__k': 60, 'clf__subsample': 0.7, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 1.0, 'clf__n_estimators': 350, 'clf__min_child_weight': 5, 'clf__max_depth': 3, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.8537549407114624,0.8063241106719368,0.8102766798418972,0.7747035573122529,0.9373737373737374,0.8364866051822574,0.05637426739091162,9,0.5,0.5217391304347826,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.5995859213250518,0.12016738651150544,3,0.6966403162055336,0.7075098814229248,0.7292490118577075,0.7292490118577075,0.9212121212121211,0.7567720685111989,0.08318432417163066,5,0.5324470804603944,0.5703619927277449,0.48402373153958783,0.5224480505789804,0.8931623931623931,0.6004886496938201,0.1488956701791438,8,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.9090909090909091,0.6181818181818182,0.14545454545454545,6
0.04052500724792481,0.0024887687075682255,0.006502532958984375,0.0008915456442900906,45,0.7,5.0,5.0,0.0,120,3,2,0.05,0.6,"{'select__k': 45, 'clf__subsample': 0.7, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 0.0, 'clf__n_estimators': 120, 'clf__min_child_weight': 3, 'clf__max_depth': 2, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.6}",0.8458498023715415,0.7786561264822134,0.8280632411067195,0.7905138339920948,0.9313131313131313,0.8348792270531401,0.054028944497062414,10,0.6206896551724138,0.41379310344827586,0.6956521739130435,0.5,0.7142857142857143,0.5888841293638896,0.11549356702316473,4,0.8112648221343874,0.642292490118577,0.8201581027667983,0.683794466403162,0.8767676767676768,0.7668555116381203,0.08866692809481308,3,0.5838827838827839,0.5396361214543033,0.4951202714506484,0.5716399828241933,0.8377052240688604,0.6055968767361579,0.12004562376602888,5,0.8181818181818182,0.5454545454545454,0.7272727272727273,0.45454545454545453,0.9090909090909091,0.6909090909090909,0.16861124537264918,3
0.10230369567871093,0.008419976569544456,0.0035015106201171874,0.0004474065405137681,60,1.0,5.0,5.0,0.5,250,5,2,0.03,0.8,"{'select__k': 60, 'clf__subsample': 1.0, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 0.5, 'clf__n_estimators': 250, 'clf__min_child_weight': 5, 'clf__max_depth': 2, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.8577075098814229,0.7984189723320158,0.8478260869565217,0.7984189723320158,0.9313131313131313,0.8467369345630213,0.04887519571475917,5,0.48,0.46153846153846156,0.7272727272727273,0.5454545454545454,0.72,0.5868531468531468,0.11513553110471132,5,0.6857707509881423,0.674901185770751,0.8310276679841897,0.7183794466403162,0.8535353535353536,0.7527228809837506,0.07485061085712992,6,0.5291395692581463,0.5562045644529522,0.5489059514460585,0.5485045257772531,0.761926961926962,0.5889363145722745,0.08695969388792976,10,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.6363636363636364,0.11499191491521384,5
2.2997410774230955,0.030936379665722723,0.007908439636230469,0.0008100324554071321,60,0.85,5.0,5.0,0.0,350,1,2,0.03,0.8,"{'select__k': 60, 'clf__subsample': 0.85, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 0.0, 'clf__n_estimators': 350, 'clf__min_child_weight': 1, 'clf__max_depth': 2, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.8478260869565217,0.7924901185770751,0.8675889328063242,0.8201581027667985,0.9252525252525252,0.8506631532718488,0.04510602053498838,2,0.5,0.43478260869565216,0.6363636363636364,0.5454545454545454,0.8,0.5833201581027667,0.12665166514656453,6,0.6966403162055336,0.6511857707509882,0.7747035573122529,0.7183794466403162,0.9101010101010101,0.7502020202020201,0.08927907063800306,7,0.5324227069650411,0.5579586066401482,0.565542204618451,0.5597932370659643,0.7873649226590403,0.6006163355897289,0.09406572982015637,7,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.5454545454545454,0.9090909090909091,0.6181818181818182,0.15640591394622957,6
0.08686928749084473,0.0033701454019253226,0.0069983482360839845,0.0008943642499737239,60,0.85,5.0,5.0,0.5,120,1,2,0.02,1.0,"{'select__k': 60, 'clf__subsample': 0.85, 'clf__scale_pos_weight': 5.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 0.5, 'clf__n_estimators': 120, 'clf__min_child_weight': 1, 'clf__max_depth': 2, 'clf__learning_rate': 0.02, 'clf__colsample_bytree': 1.0}",0.849802371541502,0.8122529644268774,0.841897233201581,0.7944664031620553,0.9313131313131313,0.8459464207290294,0.047125748288025,6,0.5714285714285714,0.5333333333333333,0.6666666666666666,0.38095238095238093,0.6451612903225806,0.5595084485407066,0.1015172776187673,7,0.7658102766798419,0.7440711462450593,0.8330039525691699,0.616600790513834,0.8434343434343434,0.7605841018884497,0.08141250746446893,4,0.5406933351853138,0.5368541878111256,0.5212212030393849,0.585824940428521,0.8346582710219075,0.6038503874972505,0.11739001830858278,6,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.36363636363636365,0.9090909090909091,0.7090909090909092,0.18541889140337398,2
2.456090974807739,0.011924652342483346,0.004603862762451172,0.0009736360556904835,75,0.85,4.0,5.0,1.0,350,5,4,0.03,1.0,"{'select__k': 75, 'clf__subsample': 0.85, 'clf__scale_pos_weight': 4.0, 'clf__reg_lambda': 5.0, 'clf__reg_alpha': 1.0, 'clf__n_estimators': 350, 'clf__min_child_weight': 5, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 1.0}",0.875494071146245,0.808300395256917,0.8339920948616601,0.7648221343873518,0.9191919191919191,0.8403601229688185,0.05333518923218173,8,0.5217391304347826,0.45454545454545453,0.6,0.35294117647058826,0.8333333333333334,0.5525118189568318,0.16216575380315676,8,0.7075098814229248,0.6620553359683794,0.7401185770750989,0.6037549407114624,0.9212121212121211,0.7269301712779974,0.107403388640488,8,0.5614110364156253,0.5318004917287213,0.5196809129186943,0.5213518060835545,0.8239777234992546,0.59164439412917,0.11712720868476195,9,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.2727272727272727,0.9090909090909091,0.5454545454545454,0.20730462274529782,8
2.412084150314331,0.030609959102918194,0.005999946594238281,0.0016733982667459263,75,0.85,4.0,2.0,0.1,180,1,4,0.02,0.8,"{'select__k': 75, 'clf__subsample': 0.85, 'clf__scale_pos_weight': 4.0, 'clf__reg_lambda': 2.0, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 180, 'clf__min_child_weight': 1, 'clf__max_depth': 4, 'clf__learning_rate': 0.02, 'clf__colsample_bytree': 0.8}",0.8517786561264822,0.8320158102766798,0.8557312252964426,0.7727272727272727,0.9333333333333332,0.8491172595520421,0.05151905339219005,3,0.45454545454545453,0.47619047619047616,0.6,0.375,0.7272727272727273,0.5266017316017315,0.12359016228441994,9,0.6620553359683794,0.6729249011857708,0.7401185770750989,0.6146245059288538,0.8303030303030303,0.7040052700922266,0.0747930511241383,9,0.5373054975327702,0.6000746876415326,0.5888493413894484,0.575684789067142,0.7979659229659231,0.6199760477193633,0.09147837682352492,2,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.2727272727272727,0.7272727272727273,0.4909090909090909,0.14770978917519928,9
0.11181292533874512,0.010457447893090529,0.003501415252685547,0.0004469301355458501,75,0.7,3.0,1.0,0.5,180,1,3,0.08,0.6,"{'select__k': 75, 'clf__subsample': 0.7, 'clf__scale_pos_weight': 3.0, 'clf__reg_lambda': 1.0, 'clf__reg_alpha': 0.5, 'clf__n_estimators': 180, 'clf__min_child_weight': 1, 'clf__max_depth': 3, 'clf__learning_rate': 0.08, 'clf__colsample_bytree': 0.6}",0.8517786561264822,0.7984189723320159,0.8399209486166008,0.7845849802371542,0.9353535353535354,0.8420114185331578,0.05293508656524453,7,0.4,0.42105263157894735,0.4444444444444444,0.47058823529411764,0.8571428571428571,0.5186456336920734,0.170878249503018,10,0.6274703557312253,0.6383399209486166,0.6492094861660079,0.6600790513833992,0.897979797979798,0.6946157224418095,0.10226135268453232,10,0.521400338791643,0.5768784449069726,0.5297584136293814,0.5699826579136924,0.8803391053391053,0.615671792116159,0.13409654952715627,3,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.8181818181818182,0.4545454545454546,0.18181818181818185,10
