threshold,f1,balanced_accuracy,precision,recall,score_for_selection
0.1,0.37545126353790614,0.6015482334259626,0.23423423423423423,0.9454545454545454,0.3760528117713321
0.11,0.37777777777777777,0.6055577610162763,0.2372093023255814,0.9272727272727272,0.37838333553879405
0.12,0.38202247191011235,0.6121079793568877,0.24056603773584906,0.9272727272727272,0.38263457988946925
0.13,0.39080459770114945,0.6252084160381104,0.24757281553398058,0.9272727272727272,0.3914298061171876
0.14,0.3968871595330739,0.6339420404922589,0.2524752475247525,0.9272727272727272,0.3975211015735662
0.15,0.3952569169960474,0.631401349741961,0.25252525252525254,0.9090909090909091,0.39588831834578936
0.16,0.4032258064516129,0.6423183803096466,0.25906735751295334,0.9090909090909091,0.4038681248319225
0.17,0.4065040650406504,0.646685192536721,0.2617801047120419,0.9090909090909091,0.40715075023318714
0.18,0.4065040650406504,0.646685192536721,0.2617801047120419,0.9090909090909091,0.40715075023318714
0.19,0.40816326530612246,0.648868598650258,0.2631578947368421,0.9090909090909091,0.4088121339047727
0.2,0.41841004184100417,0.6619690353314808,0.2717391304347826,0.9090909090909091,0.41907201087633567
0.21,0.423728813559322,0.6685192536720921,0.27624309392265195,0.9090909090909091,0.42439733281299413
0.22,0.4291845493562232,0.6750694720127034,0.2808988764044944,0.9090909090909091,0.42985961882823587
0.23,0.43859649122807015,0.6859865025803891,0.28901734104046245,0.9090909090909091,0.43928247773065054
0.24,0.43555555555555553,0.6812624057165542,0.28823529411764703,0.8909090909090909,0.43623681796127206
0.25,0.44144144144144143,0.6878126240571656,0.2934131736526946,0.8909090909090909,0.4421292540654986
0.26,0.4434389140271493,0.6899960301707027,0.29518072289156627,0.8909090909090909,0.44412891005732
0.27,0.44954128440366975,0.696546248511314,0.3006134969325153,0.8909090909090909,0.45023783065218104
0.28,0.4549763033175355,0.7005557761016277,0.3076923076923077,0.8727272727272727,0.45567685909363714
0.29,0.45714285714285713,0.7027391822151647,0.3096774193548387,0.8727272727272727,0.45784559632507227
0.3,0.45410628019323673,0.6980150853513298,0.3092105263157895,0.8545454545454545,0.45480429527858807
0.31,0.46,0.7020246129416434,0.31724137931034485,0.8363636363636363,0.4607020246129417
0.32,0.4623115577889447,0.7042080190551806,0.3194444444444444,0.8363636363636363,0.4630157658079999
0.33,0.46938775510204084,0.7107582373957919,0.3262411347517731,0.8363636363636363,0.47009851333943664
0.34,0.46632124352331605,0.7060341405319572,0.32608695652173914,0.8181818181818182,0.467027277663848
0.35,0.4712041884816754,0.7104009527590314,0.33088235294117646,0.8181818181818182,0.47191458943443443
0.36,0.48128342245989303,0.7191345772131799,0.3409090909090909,0.8181818181818182,0.4820025570371062
0.37,0.4756756756756757,0.7122270742358079,0.3384615384615385,0.8,0.4763879027499115
0.38,0.4666666666666667,0.700595474394601,0.336,0.7636363636363637,0.4673672621410613
0.39,0.4692737430167598,0.7027788805081382,0.3387096774193548,0.7636363636363637,0.4699765218972679
0.4,0.48,0.7115125049622866,0.35,0.7636363636363637,0.48071151250496225
0.41,0.49122807017543857,0.7202461294164351,0.3620689655172414,0.7636363636363637,0.491948316304855
0.42,0.4939759036144578,0.7198888447796745,0.36936936936936937,0.7454545454545455,0.4946957924592375
0.43,0.49079754601226994,0.7151647479158396,0.37037037037037035,0.7272727272727273,0.49151271076018577
0.44,0.4936708860759494,0.7148074632790791,0.3786407766990291,0.7090909090909091,0.49438569353922845
0.45,0.5,0.7191742755061532,0.38613861386138615,0.7090909090909091,0.5007191742755062
0.46,0.5064935064935064,0.7235410877332276,0.3939393939393939,0.7090909090909091,0.5072170475812396
0.47,0.5131578947368421,0.7279078999603017,0.4020618556701031,0.7090909090909091,0.5138858026368025
0.48,0.52,0.7322747121873759,0.4105263157894737,0.7090909090909091,0.5207322747121874
0.49,0.5170068027210885,0.7275506153235411,0.41304347826086957,0.6909090909090909,0.517734353336412
0.5,0.524822695035461,0.7293767368003176,0.43023255813953487,0.6727272727272727,0.5255520717722613
0.51,0.5323741007194245,0.7337435490273918,0.44047619047619047,0.6727272727272727,0.5331078442684519
0.52,0.5294117647058824,0.7290194521635569,0.4444444444444444,0.6545454545454545,0.5301407841580459
0.53,0.5333333333333333,0.7312028582770941,0.45,0.6545454545454545,0.5340645361916104
0.54,0.5373134328358209,0.7333862643906313,0.45569620253164556,0.6545454545454545,0.5380468191002116
0.55,0.549618320610687,0.7399364827312426,0.47368421052631576,0.6545454545454545,0.5503582570934183
0.56,0.544,0.7304882890035729,0.4857142857142857,0.6181818181818182,0.5447304882890036
0.57,0.5081967213114754,0.7032155617308455,0.4626865671641791,0.5636363636363636,0.5088999368732062
0.58,0.512396694214876,0.7053989678443826,0.4696969696969697,0.5636363636363636,0.5131020931827204
0.59,0.5254237288135594,0.711949186184994,0.49206349206349204,0.5636363636363636,0.5261356779997444
0.6,0.5128205128205128,0.702858277094085,0.4838709677419355,0.5454545454545454,0.5135233710976068
0.61,0.5128205128205128,0.702858277094085,0.4838709677419355,0.5454545454545454,0.5135233710976068
0.62,0.5217391304347826,0.7072250893211591,0.5,0.5454545454545454,0.5224463555241038
0.63,0.5087719298245614,0.6981341802302501,0.4915254237288136,0.5272727272727272,0.5094700640047917
0.64,0.5,0.6912266772528781,0.49122807017543857,0.509090909090909,0.5006912266772529
0.65,0.4909090909090909,0.6843191742755061,0.4909090909090909,0.4909090909090909,-999999.509090909
0.66,0.5,0.6886859865025804,0.5094339622641509,0.4909090909090909,-999999.509090909
0.67,0.49056603773584906,0.6817784835252084,0.5098039215686274,0.4727272727272727,-999999.5272727272
0.68,0.49056603773584906,0.6817784835252084,0.5098039215686274,0.4727272727272727,-999999.5272727272
0.69,0.49056603773584906,0.6817784835252084,0.5098039215686274,0.4727272727272727,-999999.5272727272
0.7,0.49056603773584906,0.6817784835252084,0.5098039215686274,0.4727272727272727,-999999.5272727272
0.71,0.4854368932038835,0.6770543866613735,0.5208333333333334,0.45454545454545453,-999999.5454545454
0.72,0.44,0.6497816593886463,0.4888888888888889,0.4,-999999.6
