threshold,f1,balanced_accuracy,precision,recall,score_for_selection
0.1,0.4092664092664093,0.652123858674077,0.25980392156862747,0.9636363636363636,0.40991853312508336
0.11,0.42570281124497994,0.6739579198094482,0.27319587628865977,0.9636363636363636,0.4263767691647894
0.12,0.43621399176954734,0.6870583564906709,0.28191489361702127,0.9636363636363636,0.436901050126038
0.13,0.44537815126050423,0.6979753870583565,0.2896174863387978,0.9636363636363636,0.4460761266475626
0.14,0.452991452991453,0.706709011512505,0.29608938547486036,0.9636363636363636,0.4536981620029655
0.15,0.4608695652173913,0.7154426359666535,0.3028571428571429,0.9636363636363636,0.461585007853358
0.16,0.4622222222222222,0.7150853513298928,0.3058823529411765,0.9454545454545454,0.4629373075735521
0.17,0.47058823529411764,0.7238189757840412,0.3132530120481928,0.9454545454545454,0.4713120542699017
0.18,0.4766355140186916,0.7278285033743549,0.32075471698113206,0.9272727272727272,0.4773633425220659
0.19,0.4807692307692308,0.7296546248511313,0.32679738562091504,0.9090909090909091,0.4814988853940819
0.2,0.48514851485148514,0.7314807463279078,0.3333333333333333,0.8909090909090909,0.48587999559781303
0.21,0.4845360824742268,0.7263993648273124,0.3381294964028777,0.8545454545454545,0.4852624818390541
0.22,0.4731182795698925,0.7100436681222708,0.33587786259541985,0.8,0.47382832323801477
0.23,0.4777777777777778,0.7118697895990473,0.344,0.7818181818181819,0.47848964756737683
0.24,0.49142857142857144,0.7227868201667329,0.35833333333333334,0.7818181818181819,0.4921513582487382
0.25,0.5088757396449705,0.7358872568479555,0.37719298245614036,0.7818181818181819,0.5096116269018184
0.26,0.5149700598802395,0.7402540690750298,0.38392857142857145,0.7818181818181819,0.5157103139493145
0.27,0.5185185185185185,0.7398967844382691,0.3925233644859813,0.7636363636363637,0.5192584153029568
0.28,0.5316455696202531,0.7486304088924176,0.4077669902912621,0.7636363636363637,0.5323942000291455
0.29,0.5290322580645161,0.7439063120285827,0.41,0.7454545454545455,0.5297761643765447
0.3,0.5466666666666666,0.7548233425962684,0.43157894736842106,0.7454545454545455,0.5474214900092629
0.31,0.5540540540540541,0.7591901548233426,0.44086021505376344,0.7454545454545455,0.5548132442088775
0.32,0.547945205479452,0.7522826518459707,0.43956043956043955,0.7272727272727273,0.548697488131298
0.33,0.5594405594405595,0.758832870186582,0.45454545454545453,0.7272727272727273,0.5601993923107461
0.34,0.5714285714285714,0.7653830885271933,0.47058823529411764,0.7272727272727273,0.5721939545170985
0.35,0.5441176470588235,0.7402937673680032,0.4567901234567901,0.6727272727272727,0.5448579408261914
0.36,0.5606060606060606,0.7490273918221517,0.4805194805194805,0.6727272727272727,0.5613550879978827
0.37,0.5648854961832062,0.7512107979356888,0.4868421052631579,0.6727272727272727,0.5656367069811419
0.38,0.5692307692307692,0.7533942040492259,0.49333333333333335,0.6727272727272727,0.5699841634348184
0.39,0.578125,0.7577610162763001,0.5068493150684932,0.6727272727272727,0.5788827610162763
0.4,0.592,0.7643112346169114,0.5285714285714286,0.6727272727272727,0.5927643112346169
0.41,0.5785123966942148,0.7504962286621675,0.5303030303030303,0.6363636363636364,0.579262892922877
0.42,0.5882352941176471,0.7548630408892418,0.546875,0.6363636363636364,0.5889901571585363
0.43,0.5982905982905983,0.759229853116316,0.5645161290322581,0.6363636363636364,0.5990498281437145
0.44,0.591304347826087,0.752322350138944,0.5666666666666667,0.6181818181818182,0.5920566701762259
0.45,0.6126126126126126,0.7610559745930925,0.6071428571428571,0.6181818181818182,0.6133736685872057
0.46,0.5981308411214953,0.7472409686383485,0.6153846153846154,0.5818181818181818,0.5988780820901336
0.47,0.5904761904761905,0.7403334656609766,0.62,0.5636363636363636,0.5912165239418514
0.48,0.5882352941176471,0.7356093687971417,0.6382978723404256,0.5454545454545454,0.5889709034864442
0.49,0.5773195876288659,0.7239777689559348,0.6666666666666666,0.509090909090909,0.5780435653978219
0.5,0.5773195876288659,0.7239777689559348,0.6666666666666666,0.509090909090909,0.5780435653978219
0.51,0.5625,0.7148868598650258,0.6585365853658537,0.4909090909090909,-999999.509090909
0.52,0.5473684210526316,0.7057959507741167,0.65,0.4727272727272727,-999999.5272727272
0.53,0.5531914893617021,0.7079793568876538,0.6666666666666666,0.4727272727272727,-999999.5272727272
0.54,0.5376344086021505,0.6988884477967447,0.6578947368421053,0.45454545454545453,-999999.5454545454
0.55,0.5217391304347826,0.6897975387058356,0.6486486486486487,0.43636363636363634,-999999.5636363636
0.56,0.5111111111111111,0.6828900357284636,0.6571428571428571,0.41818181818181815,-999999.5818181818
0.57,0.5227272727272727,0.6872568479555379,0.696969696969697,0.41818181818181815,-999999.5818181818
0.58,0.5116279069767442,0.6803493449781659,0.7096774193548387,0.4,-999999.6
0.59,0.5,0.6734418420007939,0.7241379310344828,0.38181818181818183,-999999.6181818182
0.6,0.4819277108433735,0.6643509329098849,0.7142857142857143,0.36363636363636365,-999999.6363636364
0.61,0.4691358024691358,0.6574434299325129,0.7307692307692307,0.34545454545454546,-999999.6545454545
0.62,0.4358974358974359,0.6414450178642319,0.7391304347826086,0.3090909090909091,-999999.6909090909
0.63,0.44155844155844154,0.643628423977769,0.7727272727272727,0.3090909090909091,-999999.6909090909
0.64,0.44155844155844154,0.643628423977769,0.7727272727272727,0.3090909090909091,-999999.6909090909
0.65,0.40540540540540543,0.6276300119094879,0.7894736842105263,0.2727272727272727,-999999.7272727273
0.66,0.3611111111111111,0.6094481937276697,0.7647058823529411,0.23636363636363636,-999999.7636363637
0.67,0.3380281690140845,0.6003572846367606,0.75,0.21818181818181817,-999999.7818181819
